pet     pˈatəh
ŋgˈaskəs ŋgashˈakəs
ŋgˈasək  ŋgeshˈek
ŋgˈaskəh ŋgashˈakəh

ŋge      ŋgˈarəh
ŋgəs     ŋgˈahəs
ŋgˈiʔes  ŋghˈiʔes
ŋgˈathəh ŋghˈathəh
ŋgˈasaz  ŋghˈasaz
ŋgˈasən  ŋghˈasən
ŋgˈasəh  ŋghˈasəh
ŋgˈakəs  ŋghˈakəs
ŋgˈarək  ŋghˈek
ŋgˈakəh  ŋghˈakəh

paʔ     pˈaʔəh
pˈoʔus  pˈaʔhəs
pˈeʔʔes peʔhˈiʔes
pˈaʔθəh paʔhˈathəh
pˈaʔsaz paʔhˈasaz
pˈaʔz   paʔhˈasən
pˈaʔsəh paʔhˈasəh
pˈaʔkəs paʔhˈakəs
pˈaʔək  paʔhˈek
pˈaʔkəh paʔhˈakəh

mmam      mmˈaməh
mmˈomus   mmˈamhəs
mmˈemʔes  mmemhˈiʔes
mmˈannhəh mmamhˈathəh
mmˈamsaz  mmamhˈasaz
mmˈazən   mmamhˈasən
mmˈamsəh  mmamhˈasəh
mmˈaŋkəs  mmamhˈakəs
mmˈaŋək   mmamhˈek
mmˈaŋkəh  mmamhˈakəh

hep     hˈapəh
hˈəpus  hˈaphəs
hˈipʔes hiphˈiʔes
hˈapθəh haphˈathəh
hˈapsaz haphˈasaz
hˈepz   haphˈasən
hˈapsəh haphˈasəh
hˈapkəs haphˈakəs
hˈapək  hephˈek
hˈapkəh haphˈakəh

ha      hˈarəh
hˈohus  hˈahəs
hˈeʔes  hhˈiʔes
hˈathəh hhˈathəh
hˈasaz  hhˈasaz
hˈasən  hhˈasən
hˈasəh  hhˈasəh
hˈakəs  hhˈakəs
hˈarək  hhˈek
hˈakəh  hhˈakəh

ha      hˈarəh
hˈorus  hˈahəs
hˈeʔes  hhˈiʔes
hˈathəh hhˈathəh
hˈasaz  hhˈasaz
hˈasən  hhˈasən
hˈasəh  hhˈasəh
hˈakəs  hhˈakəs
hˈarək  hhˈek
hˈakəh  hhˈakəh

hez     hˈazəh
hˈəmsus hˈazhəs
hˈizʔes hizhˈiʔes
hˈaðhəh hazhˈathəh
hˈazsaz hazhˈasaz
hˈazən  hazhˈasən
hˈazsəh hazhˈasəh
hˈazkəs hazhˈakəs
hˈazək  hezhˈek
hˈazkəh hazhˈakəh

həθ     hˈaθəh
hˈostus hˈaθhəs
hˈiθʔes hiθhˈiʔes
hˈaθθəh haθhˈathəh
hˈaθsaz haθhˈasaz
hˈəθz   haθhˈasən
hˈaθsəh haθhˈasəh
hˈaθkəs haθhˈakəs
hˈaθək  həθhˈek
hˈaθkəh haθhˈakəh

hət     hˈatəh
hˈotus  hˈathəs
hˈitʔes hithˈiʔes
hˈatθəh hathˈathəh
hˈatsaz hathˈasaz
hˈətz   hathˈasən
hˈatsəh hathˈasəh
hˈatkəs hathˈakəs
hˈatək  həthˈek
hˈatkəh hathˈakəh

luk     lˈokəh
lˈukus  lˈokhəs
lˈikʔes likhˈiʔes
lˈokθəh lokhˈathəh
lˈoksaz lokhˈasaz
lˈukz   lokhˈasən
lˈoksəh lokhˈasəh
lˈokkəs lokhˈakəs
lˈokək  lukhˈek
lˈokkəh lokhˈakəh

mik     mˈekəh
mˈukus  mˈekhəs
mˈikʔes mikhˈiʔes
mˈekθəh mekhˈathəh
mˈeksaz mekhˈasaz
mˈikz   mekhˈasən
mˈeksəh mekhˈasəh
mˈekkəs mekhˈakəs
mˈekək  mikhˈek
mˈekkəh mekhˈakəh

hut     hˈotəh
hˈutus  hˈothəs
hˈitʔes hithˈiʔes
hˈotθəh hothˈathəh
hˈotsaz hothˈasaz
hˈutz   hothˈasən
hˈotsəh hothˈasəh
hˈotkəs hothˈakəs
hˈotək  huthˈek
hˈotkəh hothˈakəh

r       rˈeh
rəs     rˈahəs
rˈiʔes  rhˈiʔes
rˈathəh rhˈathəh
rˈasaz  rhˈasaz
rˈasən  rhˈasən
rˈasəh  rhˈasəh
rˈakəs  rhˈakəs
rˈek    rhˈek
rˈakəh  rhˈakəh

r       rˈih
rˈewəs  rˈehəs
rˈiʔes  rhˈiʔes
rˈethəh rhˈathəh
rˈesaz  rhˈasaz
rˈesən  rhˈasən
rˈesəh  rhˈasəh
rˈekəs  rhˈakəs
rˈik    rhˈek
rˈekəh  rhˈakəh

rut     rˈotəh
rˈutus  rˈothəs
rˈitʔes rithˈiʔes
rˈotθəh rothˈathəh
rˈotsaz rothˈasaz
rˈutz   rothˈasən
rˈotsəh rothˈasəh
rˈotkəs rothˈakəs
rˈotək  ruthˈek
rˈotkəh rothˈakəh

roŋg     rˈaŋgəh
rˈuŋgus  rˈaŋghəs
rˈeŋgʔes reŋghˈiʔes
rˈaŋgθəh raŋghˈathəh
rˈaŋgsaz raŋghˈasaz
rˈoŋgz   raŋghˈasən
rˈaŋgsəh raŋghˈasəh
rˈaŋgkəs raŋghˈakəs
rˈaŋgək  roŋghˈek
rˈaŋgkəh raŋghˈakəh

w       wˈəh
wˈawəs  wˈahəs
wˈiʔes  whˈiʔes
wˈathəh whˈathəh
wˈasaz  whˈasaz
wˈasən  whˈasən
wˈasəh  whˈasəh
wˈakəs  whˈakəs
wˈək    whˈek
wˈakəh  whˈakəh

hus     hˈosəh
hˈusus  hˈoshəs
hˈisʔes hishˈiʔes
hˈoθhəh hoshˈathəh
hˈossaz hoshˈasaz
hˈosən  hoshˈasən
hˈossəh hoshˈasəh
hˈoskəs hoshˈakəs
hˈosək  hushˈek
hˈoskəh hoshˈakəh

wus     wˈosəh
wˈusus  wˈoshəs
wˈisʔes wishˈiʔes
wˈoθhəh woshˈathəh
wˈossaz woshˈasaz
wˈosən  woshˈasən
wˈossəh woshˈasəh
wˈoskəs woshˈakəs
wˈosək  wushˈek
wˈoskəh woshˈakəh

jan      jˈanəh
jˈonus   jˈanhəs
jˈenʔes  jenhˈiʔes
jˈannhəh janhˈathəh
jˈansaz  janhˈasaz
jˈazən   janhˈasən
jˈansəh  janhˈasəh
jˈaŋkəs  janhˈakəs
jˈaŋək   janhˈek
jˈaŋkəh  janhˈakəh

jes     jˈasəh
jˈəsus  jˈashəs
jˈisʔes jishˈiʔes
jˈaθhəh jashˈathəh
jˈassaz jashˈasaz
jˈasən  jashˈasən
jˈassəh jashˈasəh
jˈaskəs jashˈakəs
jˈasək  jeshˈek
jˈaskəh jashˈakəh

ik     ˈekəh
ˈukus  ˈekhəs
ˈikʔes ikhˈiʔes
ˈekθəh ekhˈathəh
ˈeksaz ekhˈasaz
ˈikz   ekhˈasən
ˈeksəh ekhˈasəh
ˈekkəs ekhˈakəs
ˈekək  ikhˈek
ˈekkəh ekhˈakəh

kah     kˈahəh
kˈohus  kˈahhəs
kˈehʔes kehhˈiʔes
kˈaθhəh kahhˈathəh
kˈahsaz kahhˈasaz
kˈasən  kahhˈasən
kˈahsəh kahhˈasəh
kˈahkəs kahhˈakəs
kˈahək  kahhˈek
kˈahkəh kahhˈakəh

kap     kˈapəh
kˈopus  kˈaphəs
kˈepʔes kephˈiʔes
kˈapθəh kaphˈathəh
kˈapsaz kaphˈasaz
kˈapz   kaphˈasən
kˈapsəh kaphˈasəh
kˈapkəs kaphˈakəs
kˈapək  kaphˈek
kˈapkəh kaphˈakəh

ko      kˈawəh
kˈowus  kˈahəs
kˈeʔes  khˈiʔes
kˈathəh khˈathəh
kˈasaz  khˈasaz
kˈasən  khˈasən
kˈasəh  khˈasəh
kˈakəs  khˈakəs
kˈawək  khˈek
kˈakəh  khˈakəh

ken      kˈanəh
kˈənus   kˈanhəs
kˈinʔes  kinhˈiʔes
kˈannhəh kanhˈathəh
kˈansaz  kanhˈasaz
kˈazən   kanhˈasən
kˈansəh  kanhˈasəh
kˈaŋkəs  kanhˈakəs
kˈaŋək   kenhˈek
kˈaŋkəh  kanhˈakəh

kes     kˈasəh
kˈəsus  kˈashəs
kˈisʔes kishˈiʔes
kˈaθhəh kashˈathəh
kˈassaz kashˈasaz
kˈasən  kashˈasən
kˈassəh kashˈasəh
kˈaskəs kashˈakəs
kˈasək  keshˈek
kˈaskəh kashˈakəh

ket     kˈatəh
kˈətus  kˈathəs
kˈitʔes kithˈiʔes
kˈatθəh kathˈathəh
kˈatsaz kathˈasaz
kˈetz   kathˈasən
kˈatsəh kathˈasəh
kˈatkəs kathˈakəs
kˈatək  kethˈek
kˈatkəh kathˈakəh

xes     xˈasəh
xˈəsus  xˈashəs
xˈisʔes xishˈiʔes
xˈaθhəh xashˈathəh
xˈassaz xashˈasaz
xˈasən  xashˈasən
xˈassəh xashˈasəh
xˈaskəs xashˈakəs
xˈasək  xeshˈek
xˈaskəh xashˈakəh

x       xˈəh
xus     xˈahəs
xˈiʔes  xhˈiʔes
xˈathəh xhˈathəh
xˈasaz  xhˈasaz
xˈasən  xhˈasən
xˈasəh  xhˈasəh
xˈakəs  xhˈakəs
xˈək    xhˈek
xˈakəh  xhˈakəh

xo      xˈarəh
xˈulus  xˈahəs
xˈeʔes  xhˈiʔes
xˈathəh xhˈathəh
xˈasaz  xhˈasaz
xˈasən  xhˈasən
xˈasəh  xhˈasəh
xˈakəs  xhˈakəs
xˈarək  xhˈek
xˈakəh  xhˈakəh

pṙk     pˈṙkəh
pˈṙkus  pˈṙkhəs
pˈṙkʔes pṙkhˈiʔes
pˈṙkθəh pṙkhˈathəh
pˈṙksaz pṙkhˈasaz
pˈṙkz   pṙkhˈasən
pˈṙksəh pṙkhˈasəh
pˈṙkkəs pṙkhˈakəs
pˈṙkək  pṙkhˈek
pˈṙkkəh pṙkhˈakəh

p       pˈəh
pus     pˈahəs
pˈiʔes  phˈiʔes
pˈathəh phˈathəh
pˈasaz  phˈasaz
pˈasən  phˈasən
pˈasəh  phˈasəh
pˈakəs  phˈakəs
pˈək    phˈek
pˈakəh  phˈakəh

pek     pˈakəh
pˈəkus  pˈakhəs
pˈikʔes pikhˈiʔes
pˈakθəh pakhˈathəh
pˈaksaz pakhˈasaz
pˈekz   pakhˈasən
pˈaksəh pakhˈasəh
pˈakkəs pakhˈakəs
pˈakək  pekhˈek
pˈakkəh pakhˈakəh

pə      pˈajəh
pˈujus  pˈahəs
pˈiʔes  phˈiʔes
pˈathəh phˈathəh
pˈasaz  phˈasaz
pˈasən  phˈasən
pˈasəh  phˈasəh
pˈakəs  phˈakəs
pˈajək  phˈek
pˈakəh  phˈakəh

le      lˈajəh
lˈojus  lˈahəs
lˈiʔes  lhˈiʔes
lˈathəh lhˈathəh
lˈasaz  lhˈasaz
lˈasən  lhˈasən
lˈasəh  lhˈasəh
lˈakəs  lhˈakəs
lˈajək  lhˈek
lˈakəh  lhˈakəh

la      lˈarəh
lˈorus  lˈahəs
lˈeʔes  lhˈiʔes
lˈathəh lhˈathəh
lˈasaz  lhˈasaz
lˈasən  lhˈasən
lˈasəh  lhˈasəh
lˈakəs  lhˈakəs
lˈarək  lhˈek
lˈakəh  lhˈakəh

lo      lˈawəh
lˈowus  lˈahəs
lˈeʔes  lhˈiʔes
lˈathəh lhˈathəh
lˈasaz  lhˈasaz
lˈasən  lhˈasən
lˈasəh  lhˈasəh
lˈakəs  lhˈakəs
lˈawək  lhˈek
lˈakəh  lhˈakəh

lop     lˈapəh
lˈupus  lˈaphəs
lˈepʔes lephˈiʔes
lˈapθəh laphˈathəh
lˈapsaz laphˈasaz
lˈopz   laphˈasən
lˈapsəh laphˈasəh
lˈapkəs laphˈakəs
lˈapək  lophˈek
lˈapkəh laphˈakəh

lom      lˈaməh
lˈumus   lˈamhəs
lˈemʔes  lemhˈiʔes
lˈannhəh lamhˈathəh
lˈamsaz  lamhˈasaz
lˈazən   lamhˈasən
lˈamsəh  lamhˈasəh
lˈaŋkəs  lamhˈakəs
lˈaŋək   lomhˈek
lˈaŋkəh  lamhˈakəh

lut     lˈotəh
lˈutus  lˈothəs
lˈitʔes lithˈiʔes
lˈotθəh lothˈathəh
lˈotsaz lothˈasaz
lˈutz   lothˈasən
lˈotsəh lothˈasəh
lˈotkəs lothˈakəs
lˈotək  luthˈek
lˈotkəh lothˈakəh

mam      mˈaməh
mˈomus   mˈamhəs
mˈemʔes  memhˈiʔes
mˈannhəh mamhˈathəh
mˈamsaz  mamhˈasaz
mˈazən   mamhˈasən
mˈamsəh  mamhˈasəh
mˈaŋkəs  mamhˈakəs
mˈaŋək   mamhˈek
mˈaŋkəh  mamhˈakəh

man      mˈanəh
mˈonhus  mˈanhəs
mˈenʔes  menhˈiʔes
mˈannhəh manhˈathəh
mˈansaz  manhˈasaz
mˈazən   manhˈasən
mˈansəh  manhˈasəh
mˈaŋkəs  manhˈakəs
mˈaŋək   manhˈek
mˈaŋkəh  manhˈakəh

muh     mˈohəh
mˈuhus  mˈohhəs
mˈihʔes mihhˈiʔes
mˈoθhəh mohhˈathəh
mˈohsaz mohhˈasaz
mˈosən  mohhˈasən
mˈohsəh mohhˈasəh
mˈohkəs mohhˈakəs
mˈohək  muhhˈek
mˈohkəh mohhˈakəh

mot     mˈatəh
mˈutus  mˈathəs
mˈetʔes methˈiʔes
mˈatθəh mathˈathəh
mˈatsaz mathˈasaz
mˈotz   mathˈasən
mˈatsəh mathˈasəh
mˈatkəs mathˈakəs
mˈatək  mothˈek
mˈatkəh mathˈakəh

nand     nˈandəh
nˈondus  nˈandhəs
nˈendʔes nendhˈiʔes
nˈandθəh nandhˈathəh
nˈandsaz nandhˈasaz
nˈandz   nandhˈasən
nˈandsəh nandhˈasəh
nˈandkəs nandhˈakəs
nˈandək  nandhˈek
nˈandkəh nandhˈakəh

nes     nˈasəh
nˈəsus  nˈashəs
nˈisʔes nishˈiʔes
nˈaθhəh nashˈathəh
nˈassaz nashˈasaz
nˈasən  nashˈasən
nˈassəh nashˈasəh
nˈaskəs nashˈakəs
nˈasək  neshˈek
nˈaskəh nashˈakəh

ŋan      ŋˈanəh
ŋˈonus   ŋˈanhəs
ŋˈenʔes  ŋenhˈiʔes
ŋˈannhəh ŋanhˈathəh
ŋˈansaz  ŋanhˈasaz
ŋˈazən   ŋanhˈasən
ŋˈansəh  ŋanhˈasəh
ŋˈaŋkəs  ŋanhˈakəs
ŋˈaŋək   ŋanhˈek
ŋˈaŋkəh  ŋanhˈakəh

ŋoh     ŋˈahəh
ŋˈuhus  ŋˈahhəs
ŋˈehʔes ŋehhˈiʔes
ŋˈaθhəh ŋahhˈathəh
ŋˈahsaz ŋahhˈasaz
ŋˈasən  ŋahhˈasən
ŋˈahsəh ŋahhˈasəh
ŋˈahkəs ŋahhˈakəs
ŋˈahək  ŋohhˈek
ŋˈahkəh ŋahhˈakəh

wok     wˈakəh
wˈukus  wˈakhəs
wˈekʔes wekhˈiʔes
wˈakθəh wakhˈathəh
wˈaksaz wakhˈasaz
wˈokz   wakhˈasən
wˈaksəh wakhˈasəh
wˈakkəs wakhˈakəs
wˈakək  wokhˈek
wˈakkəh wakhˈakəh

pat     pˈatəh
pˈotus  pˈathəs
pˈetʔes pethˈiʔes
pˈatθəh pathˈathəh
pˈatsaz pathˈasaz
pˈatz   pathˈasən
pˈatsəh pathˈasəh
pˈatkəs pathˈakəs
pˈatək  pathˈek
pˈatkəh pathˈakəh

pend     pˈandəh
pˈəndus  pˈandhəs
pˈindʔes pindhˈiʔes
pˈandθəh pandhˈathəh
pˈandsaz pandhˈasaz
pˈendz   pandhˈasən
pˈandsəh pandhˈasəh
pˈandkəs pandhˈakəs
pˈandək  pendhˈek
pˈandkəh pandhˈakəh

pep     pˈapəh
pˈəpus  pˈaphəs
pˈipʔes piphˈiʔes
pˈapθəh paphˈathəh
pˈapsaz paphˈasaz
pˈepz   paphˈasən
pˈapsəh paphˈasəh
pˈapkəs paphˈakəs
pˈapək  pephˈek
pˈapkəh paphˈakəh

p       pˈəh
pus     pˈahəs
pˈiʔes  phˈiʔes
pˈathəh phˈathəh
pˈasaz  phˈasaz
pˈasən  phˈasən
pˈasəh  phˈasəh
pˈakəs  phˈakəs
pˈək    phˈek
pˈakəh  phˈakəh

fes     fˈasəh
fˈəsus  fˈashəs
fˈisʔes fishˈiʔes
fˈaθhəh fashˈathəh
fˈassaz fashˈasaz
fˈasən  fashˈasən
fˈassəh fashˈasəh
fˈaskəs fashˈakəs
fˈasək  feshˈek
fˈaskəh fashˈakəh

fet     fˈatəh
fˈətus  fˈathəs
fˈitʔes fithˈiʔes
fˈatθəh fathˈathəh
fˈatsaz fathˈasaz
fˈetz   fathˈasən
fˈatsəh fathˈasəh
fˈatkəs fathˈakəs
fˈatək  fethˈek
fˈatkəh fathˈakəh

pet     pˈatəh
pˈətus  pˈathəs
pˈitʔes pithˈiʔes
pˈatθəh pathˈathəh
pˈatsaz pathˈasaz
pˈetz   pathˈasən
pˈatsəh pathˈasəh
pˈatkəs pathˈakəs
pˈatək  pethˈek
pˈatkəh pathˈakəh

pah     pˈahəh
pˈohus  pˈahhəs
pˈehʔes pehhˈiʔes
pˈaθhəh pahhˈathəh
pˈahsaz pahhˈasaz
pˈasən  pahhˈasən
pˈahsəh pahhˈasəh
pˈahkəs pahhˈakəs
pˈahək  pahhˈek
pˈahkəh pahhˈakəh

poh     pˈahəh
pˈuhus  pˈahhəs
pˈehʔes pehhˈiʔes
pˈaθhəh pahhˈathəh
pˈahsaz pahhˈasaz
pˈasən  pahhˈasən
pˈahsəh pahhˈasəh
pˈahkəs pahhˈakəs
pˈahək  pohhˈek
pˈahkəh pahhˈakəh

pes     pˈasəh
pˈəsus  pˈashəs
pˈisʔes pishˈiʔes
pˈaθhəh pashˈathəh
pˈassaz pashˈasaz
pˈasən  pashˈasən
pˈassəh pashˈasəh
pˈaskəs pashˈakəs
pˈasək  peshˈek
pˈaskəh pashˈakəh

pek     pˈakəh
pˈəkus  pˈakhəs
pˈikʔes pikhˈiʔes
pˈakθəh pakhˈathəh
pˈaksaz pakhˈasaz
pˈekz   pakhˈasən
pˈaksəh pakhˈasəh
pˈakkəs pakhˈakəs
pˈakək  pekhˈek
pˈakkəh pakhˈakəh

fet     fˈatəh
fˈətus  fˈathəs
fˈitʔes fithˈiʔes
fˈatθəh fathˈathəh
fˈatsaz fathˈasaz
fˈetz   fathˈasən
fˈatsəh fathˈasəh
fˈatkəs fathˈakəs
fˈatək  fethˈek
fˈatkəh fathˈakəh

poz     pˈazəh
pˈumsus pˈazhəs
pˈezʔes pezhˈiʔes
pˈaðhəh pazhˈathəh
pˈazsaz pazhˈasaz
pˈazən  pazhˈasən
pˈazsəh pazhˈasəh
pˈazkəs pazhˈakəs
pˈazək  pozhˈek
pˈazkəh pazhˈakəh

ʔa      ʔˈarəh
ʔˈolus  ʔˈahəs
ʔˈeʔes  ʔhˈiʔes
ʔˈathəh ʔhˈathəh
ʔˈasaz  ʔhˈasaz
ʔˈasən  ʔhˈasən
ʔˈasəh  ʔhˈasəh
ʔˈakəs  ʔhˈakəs
ʔˈarək  ʔhˈek
ʔˈakəh  ʔhˈakəh

ʔ       ʔˈah
ʔos     ʔˈahəs
ʔˈeʔes  ʔhˈiʔes
ʔˈathəh ʔhˈathəh
ʔˈasaz  ʔhˈasaz
ʔˈasən  ʔhˈasən
ʔˈasəh  ʔhˈasəh
ʔˈakəs  ʔhˈakəs
ʔˈak    ʔhˈek
ʔˈakəh  ʔhˈakəh

lək     lˈakəh
lˈokus  lˈakhəs
lˈikʔes likhˈiʔes
lˈakθəh lakhˈathəh
lˈaksaz lakhˈasaz
lˈəkz   lakhˈasən
lˈaksəh lakhˈasəh
lˈakkəs lakhˈakəs
lˈakək  ləkhˈek
lˈakkəh lakhˈakəh

n       nˈah
nos     nˈahəs
nˈeʔes  nhˈiʔes
nˈathəh nhˈathəh
nˈasaz  nhˈasaz
nˈasən  nhˈasən
nˈasəh  nhˈasəh
nˈakəs  nhˈakəs
nˈak    nhˈek
nˈakəh  nhˈakəh

rah     rˈahəh
rˈohus  rˈahhəs
rˈehʔes rehhˈiʔes
rˈaθhəh rahhˈathəh
rˈahsaz rahhˈasaz
rˈasən  rahhˈasən
rˈahsəh rahhˈasəh
rˈahkəs rahhˈakəs
rˈahək  rahhˈek
rˈahkəh rahhˈakəh

res     rˈasəh
rˈəsus  rˈashəs
rˈisʔes rishˈiʔes
rˈaθhəh rashˈathəh
rˈassaz rashˈasaz
rˈasən  rashˈasən
rˈassəh rashˈasəh
rˈaskəs rashˈakəs
rˈasək  reshˈek
rˈaskəh rashˈakəh

ṙh     ˈṙhəh
ˈṙhus  ˈṙhhəs
ˈṙhʔes ṙhhˈiʔes
ˈṙθhəh ṙhhˈathəh
ˈṙhsaz ṙhhˈasaz
ˈṙsən  ṙhhˈasən
ˈṙhsəh ṙhhˈasəh
ˈṙhkəs ṙhhˈakəs
ˈṙhək  ṙhhˈek
ˈṙhkəh ṙhhˈakəh

ru      rˈawəh
rˈuwus  rˈohəs
rˈiʔes  rhˈiʔes
rˈothəh rhˈathəh
rˈosaz  rhˈasaz
rˈosən  rhˈasən
rˈosəh  rhˈasəh
rˈokəs  rhˈakəs
rˈawək  rhˈek
rˈokəh  rhˈakəh

sah     sˈahəh
sˈohus  sˈahhəs
sˈehʔes sehhˈiʔes
sˈaθhəh sahhˈathəh
sˈahsaz sahhˈasaz
sˈasən  sahhˈasən
sˈahsəh sahhˈasəh
sˈahkəs sahhˈakəs
sˈahək  sahhˈek
sˈahkəh sahhˈakəh

sek     sˈakəh
sˈəkus  sˈakhəs
sˈikʔes sikhˈiʔes
sˈakθəh sakhˈathəh
sˈaksaz sakhˈasaz
sˈekz   sakhˈasən
sˈaksəh sakhˈasəh
sˈakkəs sakhˈakəs
sˈakək  sekhˈek
sˈakkəh sakhˈakəh

səs     sˈasəh
sˈosus  sˈashəs
sˈisʔes sishˈiʔes
sˈaθhəh sashˈathəh
sˈassaz sashˈasaz
sˈasən  sashˈasən
sˈassəh sashˈasəh
sˈaskəs sashˈakəs
sˈasək  səshˈek
sˈaskəh sashˈakəh

sah     sˈahəh
sˈohus  sˈahhəs
sˈehʔes sehhˈiʔes
sˈaθhəh sahhˈathəh
sˈahsaz sahhˈasaz
sˈasən  sahhˈasən
sˈahsəh sahhˈasəh
sˈahkəs sahhˈakəs
sˈahək  sahhˈek
sˈahkəh sahhˈakəh

sə      sˈajəh
sˈujus  sˈahəs
sˈiʔes  shˈiʔes
sˈathəh shˈathəh
sˈasaz  shˈasaz
sˈasən  shˈasən
sˈasəh  shˈasəh
sˈakəs  shˈakəs
sˈajək  shˈek
sˈakəh  shˈakəh

sṙx     sˈṙxəh
sˈṙhkus sˈṙxhəs
sˈṙxʔes sṙxhˈiʔes
sˈṙxθəh sṙxhˈathəh
sˈṙxsaz sṙxhˈasaz
sˈṙxz   sṙxhˈasən
sˈṙxsəh sṙxhˈasəh
sˈṙxkəs sṙxhˈakəs
sˈṙxək  sṙxhˈek
sˈṙxkəh sṙxhˈakəh

sə      sˈajəh
